id,name,nrate,pic_url,nrating_pages,minplayers,maxplayers,minage,mean_rating,weight,categories,mechanics,f_0,f_1,f_2,f_3,f_4
164153,Star Wars: Imperial Assault,17406,https://cf.geekdo-images.com/micro/img/63Sh2j1jrcw1Igy5AkZdL8CAGD4=/fit-in/64x64/pic2247647.jpg,174,2,5,14,8.05744,3.295,"Adventure,Fighting,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame","Dice Rolling,Grid Movement,Modular Board,Role Playing,Team-Based Game,Variable Player Powers",-1.2599740033603188,2.0473957774474165,0.4380747220231765,0.24532045529727492,0.13451524996566955
164928,Orléans,17043,https://cf.geekdo-images.com/micro/img/EFMKhgiJOEON4d5NLvLDLnS2VyY=/fit-in/64x64/pic2578828.png,170,2,4,12,8.08285,3.0654,"Medieval,Religious,Travel","Deck, Bag, and Pool Building,Point to Point Movement,Turn Order: Progressive,Worker Placement",-1.3909755434075715,0.05532866878969668,-0.4935875289944313,-0.8428193240517363,1.0830671212462932
166384,Spyfall,15870,https://cf.geekdo-images.com/micro/img/-1l8-mEuSZ4DnQuo3FUnZ7hJMi4=/fit-in/64x64/pic2453926.jpg,158,3,8,13,6.9633199999999995,1.2464,"Bluffing,Deduction,Humor,Party Game,Spies/Secret Agents","Acting,Memory,Role Playing,Traitor Game,Voting",0.17841941824409083,-0.4931127340564378,-0.6502253244606624,0.8009474219067713,-0.5468506694208883
167791,Terraforming Mars,43502,https://cf.geekdo-images.com/micro/img/71v8jF5vZFBqE64QJ7S3UYtDAng=/fit-in/64x64/pic3536616.jpg,435,1,5,12,8.41204,3.2310000000000003,"Economic,Environmental,Industry / Manufacturing,Science Fiction,Space Exploration,Territory Building","Drafting,End Game Bonuses,Hand Management,Income,Set Collection,Take That,Tile Placement,Turn Order: Progressive,Variable Player Powers",-1.9203768632100204,0.42858956660754294,-0.011616377443054826,0.2142599989373809,1.1059983712171793
168435,Between Two Cities,8240,https://cf.geekdo-images.com/micro/img/SoTbuMtT7WGANQxV7MFf86Lunss=/fit-in/64x64/pic2326114.jpg,82,1,7,8,7.05357,1.817,"City Building,Negotiation","Card Drafting,Highest-Lowest Scoring,Set Collection,Simultaneous Action Selection,Solo / Solitaire Game,Tile Placement",0.023842249994011758,-0.36567735453692796,-1.5189194053861552,0.5087028594397067,1.3547630557460768
169786,Scythe,43230,https://cf.geekdo-images.com/micro/img/Gqqd5c-C33zrLpoeb92cMxIF98s=/fit-in/64x64/pic3163924.jpg,432,1,5,14,8.27255,3.3764,"Economic,Fighting,Science Fiction,Territory Building","Area Majority / Influence,Grid Movement,Variable Player Powers",-1.5379660712471723,0.43835480840732066,0.01455250316348994,0.18341327461567986,0.5074332161699943
170216,Blood Rage,27218,https://cf.geekdo-images.com/micro/img/P2Hw9b5BDQNLRtNcqgr1zNYW-cw=/fit-in/64x64/pic2439223.jpg,272,2,4,14,8.01552,2.8788,"Fantasy,Fighting,Miniatures,Mythology","Action Points,Area Majority / Influence,Area Movement,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",-1.2831340388074366,0.4259387775690249,-0.7827444222683151,0.3460781571048366,0.6273408993582337
171131,Captain Sonar,12892,https://cf.geekdo-images.com/micro/img/5gbPeQCbm9ft2ukWdxlg_7A4HfU=/fit-in/64x64/pic3013621.png,128,2,8,14,7.61791,2.1197,"Deduction,Fighting,Nautical,Real-time","Grid Movement,Hidden Movement,Line Drawing,Real-Time,Role Playing,Secret Unit Deployment,Simulation,Team-Based Game",-0.8651724670964354,0.006016996062770874,-1.6667599980140724,1.0528184087630366,-0.9654506560627228
171623,The Voyages of Marco Polo,16390,https://cf.geekdo-images.com/micro/img/D8lmO9H-rtq03Idsq3t2VuddVrw=/fit-in/64x64/pic2461346.png,163,2,4,12,7.935910000000001,3.1944,"Dice,Economic,Medieval,Travel","Card Drafting,Contracts,Dice Rolling,Point to Point Movement,Set Collection,Variable Player Powers,Worker Placement with Dice Workers",-1.1643070663630142,-0.3814966892272319,-0.23853442622071727,0.646706990564473,1.6266759552927137
171668,The Grizzled,10382,https://cf.geekdo-images.com/micro/img/iFFiCoK1e1gSQOJXS2D7Thjhqig=/fit-in/64x64/pic3719610.png,103,2,5,14,7.241810000000001,1.9254,"Card Game,World War I","Communication Limits,Cooperative Game,Hand Management,Push Your Luck,Variable Player Powers",-0.205032585503961,0.12960259086383225,-1.3193147829995304,0.8820385474560453,-0.3855626232187886
